run, name, in_degree, out_degree, total_degree, distance, exp_utility, exp_gini, mutual_info, exp_independent, size_before, min, max
3, CATECHOL, 4, 1, 5, 1, 0.09517947476525458, 0.04152460789450757, 0.0804240165932355, 27.38031479161109, 28, 22, 28
4, EXPCO2, 2, 0, 2, 1, 0.04825821632759997, 0.024056990274595014, 0.06957909909320847, 24.32835271358867, 25, 22, 31
4, MINVOL, 2, 0, 2, 3, 0.2879509374770974, 0.23053924375848556, 0.5123979122524539, 29.301384970670135, 25, 26, 30
4, PVSAT, 2, 1, 3, 2, 0.2793335988143284, 0.2403356420069189, 0.5449874068311711, 31.605371797301324, 25, 14, 32
4, SAO2, 2, 1, 3, 2, 0.25841293266680654, 0.2077295718338694, 0.4520951500673427, 28.97827396353435, 25, 14, 30
4, DISCONNECT, 0, 1, 1, 4, 0.07392312218095481, 0.02680935847797722, 0.052293052663469175, 24.100000002172024, 25, 16, 25
4, MINVOLSET, 0, 1, 1, 5, 0.09238888630608083, 0.04430132399326381, 0.08433610939590608, 24.75000000078723, 25, 22, 25
4, VENTMACH, 1, 1, 2, 4, 0.145457541372551, 0.07234841424615501, 0.14291525774329994, 26.45800000164182, 25, 23, 27
4, VENTTUBE, 2, 2, 4, 3, 0.23113129716265188, 0.1332958299681174, 0.2879436178893091, 28.05601600279306, 25, 25, 29
4, VENTLUNG, 3, 3, 6, 2, 0.2715072965839742, 0.19751827599887137, 0.4375081777506181, 29.39636456906131, 25, 26, 34
4, VENTALV, 2, 2, 4, 1, 0.3417500729070718, 0.31815716292309815, 0.754893961165424, 34.81017257854291, 25, 34, 35
4, CATECHOL, 4, 1, 5, 1, 0.09331574852012305, 0.040368943564124515, 0.07997473030274771, 25.599462871466383, 25, 22, 26
5, STROKEVOLUME, 2, 1, 3, 2, 0.031926395442515756, 0.013983709065645333, 0.0418752326865901, 28.820000000000004, 29, 24, 29
5, TPR, 1, 2, 3, 1, 0.2455545449632216, 0.13263810151793742, 0.30223611656900107, 30.634934012346626, 29, 30, 32
5, CATECHOL, 4, 1, 5, 2, 0.038880335888727066, 0.012184854625565289, 0.022119303408934865, 28.942262333905287, 29, 28, 29
5, CO, 2, 1, 3, 1, 0.14416596285217304, 0.05562365807296532, 0.1340487068518419, 29.832375438471686, 29, 29, 30
6, TPR, 1, 2, 3, 1, 0.2625271597920741, 0.14236036891527082, 0.3220600690037274, 31.306800000450632, 30, 31, 32
6, CATECHOL, 4, 1, 5, 2, 0.04735829354165755, 0.014585002686248572, 0.026230753704120202, 29.927669879244746, 30, 29, 30
6, CO, 2, 1, 3, 1, 0.11806129484353753, 0.039384350314663585, 0.08801343739121426, 29.834608885976856, 30, 29, 30
7, HISTORY, 1, 0, 1, 4, 0.02878434407843711, 0.007417615203871519, 0.014835562177790251, 13.872, 10, 13, 29
7, CVP, 1, 0, 1, 5, 0.05308225813120539, 0.0066133098235995336, 0.012176361138969582, 23.384693999999996, 10, 22, 28
7, PCWP, 1, 0, 1, 5, 0.06359330491051121, 0.00854619808652457, 0.015720822059622552, 23.698944, 10, 22, 28
7, HYPOVOLEMIA, 0, 2, 2, 3, 0.05765332303619783, 0.009544795679752749, 0.01781379746391698, 23.8, 10, 22, 31
7, LVEDVOLUME, 2, 2, 4, 4, 0.06988275264891353, 0.011111687143385507, 0.02060286562317959, 26.1924, 10, 25, 29
7, LVFAILURE, 0, 3, 3, 3, 0.032341959638693386, 0.010158947422951536, 0.021529562449240425, 16.75, 10, 16, 31
7, STROKEVOLUME, 2, 1, 3, 2, 0.12375382124492157, 0.04786059864103409, 0.1017262033861388, 28.8444, 10, 28, 32
7, HRBP, 2, 0, 2, 3, 0.0451190339756985, 0.011813488514191284, 0.030615379875228443, 13.843638402792475, 10, 12, 25
7, HREKG, 2, 0, 2, 3, 0.03945000522965418, 0.011090552291510347, 0.028786847512534575, 11.029425646286377, 10, 5, 19
7, HRSAT, 2, 0, 2, 3, 0.03945000522965418, 0.011090552291510347, 0.028786847512534575, 11.029425646286377, 10, 5, 19
7, ANAPHYLAXIS, 0, 1, 1, 2, 0.007674489758131434, 0.004388644674634845, 0.009175394113283275, 10.240000000473154, 10, 10, 34
7, TPR, 1, 2, 3, 1, 0.2425555596033976, 0.20963392892995508, 0.45774443692954625, 28.36519999693978, 10, 22, 35
7, EXPCO2, 2, 0, 2, 4, 0.003135835908731196, 1.0500853022532564E-4, 2.563742391645807E-4, 9.682700664854394, 10, 9, 16
7, MINVOL, 2, 0, 2, 6, 0.019717059091258905, 9.917064020040778E-4, 0.0024212086480708273, 14.319706962899271, 10, 13, 16
7, PVSAT, 2, 1, 3, 4, 0.02014752666157466, 0.001102407914866932, 0.002686913212806008, 16.737694928380698, 10, 9, 21
7, SAO2, 2, 1, 3, 3, 0.019513536954656227, 0.0010301333949918057, 0.0025113249132333593, 14.905284156604232, 10, 10, 20
7, DISCONNECT, 0, 1, 1, 7, 0.005117974708745402, 1.2390258800909493E-4, 3.0323529506293134E-4, 9.80000000048267, 10, 8, 10
7, MINVOLSET, 0, 1, 1, 8, 0.006469345167066667, 2.0207059547472372E-4, 4.934280810131586E-4, 9.900000000305518, 10, 9, 10
7, VENTMACH, 1, 1, 2, 7, 0.010158230772599221, 3.3070615086017163E-4, 8.084801180059387E-4, 10.83800000047957, 10, 10, 11
7, VENTTUBE, 2, 2, 4, 6, 0.016107032455714352, 6.092130540961138E-4, 0.0014911241110391327, 12.600208001009873, 10, 11, 13
7, VENTLUNG, 3, 3, 6, 5, 0.019009004731012392, 8.650552203069983E-4, 0.0021146072401834193, 13.332102611538646, 10, 13, 16
7, VENTALV, 2, 2, 4, 4, 0.02293772368234319, 0.0012855118657485454, 0.003137568969932447, 19.60968676920964, 10, 19, 22
7, ARTCO2, 1, 2, 3, 3, 0.024102602812803423, 0.0013584950754932379, 0.0033181786453586604, 20.72577449982109, 10, 20, 23
7, CATECHOL, 4, 1, 5, 2, 0.002484874840715096, 0.010803511503156726, 0.027446532797708922, 9.799731435733193, 10, 8, 10
7, HR, 1, 4, 5, 2, 0.049595631636575946, 0.015676772149169182, 0.03993047754656698, 16.305401851099838, 10, 14, 32
7, CO, 2, 1, 3, 1, 0.17346750420499396, 0.08054212498592783, 0.17807731270498728, 32.815532641984035, 10, 32, 33
8, ERRCAUTER, 0, 2, 2, 3, 0.01059518251556007, 0.005317570787289262, 0.023003745453344784, 30.81862350581615, 31, 14, 31
8, HR, 1, 4, 5, 1, 0.018302181687359902, 0.009616846201846399, 0.04252619154259428, 31.78298319339946, 31, 17, 32
9, HISTORY, 1, 0, 1, 3, 0.0017502759451044098, 1.3347317991740937E-4, 2.3627434163064898E-4, 18.1091169451074, 18, 18, 27
9, HYPOVOLEMIA, 0, 2, 2, 2, 0.10278311229967205, 0.03633655823057769, 0.07594460579085238, 25.183293556085918, 18, 25, 26
9, LVFAILURE, 0, 3, 3, 2, 0.001966602185510613, 8.476524780520744E-4, 0.0017157782509940045, 19.033412887828163, 18, 19, 33
9, STROKEVOLUME, 2, 1, 3, 1, 0.3750984070083453, 0.30124156507779465, 0.6814468482741468, 31.16634844868735, 18, 29, 34
9, HRBP, 2, 0, 2, 2, 0.14667941718245603, 0.06291229766439643, 0.16511050015230655, 27.205535992317593, 18, 11, 29
9, HREKG, 2, 0, 2, 2, 0.13893964463962016, 0.059465979018238135, 0.15658733358943655, 25.801790305765415, 18, 24, 26
9, HRSAT, 2, 0, 2, 2, 0.13893964463962016, 0.059465979018238135, 0.15658733358943655, 25.801790305765415, 18, 24, 26
9, TPR, 1, 2, 3, 2, 0.05260028843260828, 0.005582071762365137, 0.013802732514226257, 21.14740002021866, 18, 11, 26
9, MINVOL, 2, 0, 2, 6, 0.03490164341042777, 0.0030861973523096387, 0.007578128584920574, 19.21779865975256, 18, 12, 21
9, PVSAT, 2, 1, 3, 4, 0.03584272928961024, 0.0034621159160864723, 0.008467940123773499, 22.220519074715156, 18, 15, 24
9, SAO2, 2, 1, 3, 3, 0.03480969959889199, 0.0032567832632582894, 0.007970932520495966, 21.588731953174467, 18, 12, 24
9, VENTTUBE, 2, 2, 4, 6, 0.028574443285773965, 0.0018982843833581509, 0.004692880540039024, 19.35372800555171, 18, 9, 22
9, VENTALV, 2, 2, 4, 4, 0.04049182963115559, 0.0039794633696115245, 0.009762218208950957, 22.550594535285242, 18, 17, 24
9, ARTCO2, 1, 2, 3, 3, 0.042438407244283716, 0.004174450538542596, 0.01025845977019424, 21.941056747666124, 18, 14, 24
9, CATECHOL, 4, 1, 5, 2, 0.08195861734560371, 0.03140393250137674, 0.0819292011591306, 25.899865717866597, 18, 25, 26
9, HR, 1, 4, 5, 1, 0.16151909475697512, 0.07856165659779701, 0.20695165511062097, 30.68579320144325, 18, 29, 33
9, BP, 2, 0, 2, 1, 0.2147604373201059, 0.1190527202196825, 0.2521044599090825, 27.5891087649934, 18, 23, 30
10, HISTORY, 1, 0, 1, 3, 0.05398226064851299, 0.028905306080446724, 0.059257284385744846, 26.108999999999998, 25, 26, 28
10, HYPOVOLEMIA, 0, 2, 2, 2, 0.10831663395786928, 0.03718855889522166, 0.08544594295458863, 25.6, 25, 25, 28
10, LVEDVOLUME, 2, 2, 4, 3, 0.13121545698755135, 0.04329656317129471, 0.10666681833910063, 24.678399999999996, 25, 18, 30
10, LVFAILURE, 0, 3, 3, 2, 0.06065422544776744, 0.039587856291374734, 0.08325009747389744, 27.299999999999997, 25, 27, 33
10, STROKEVOLUME, 2, 1, 3, 1, 0.23217374189306694, 0.18696790024033216, 0.4579039214018392, 30.065599999999996, 25, 29, 34
10, HRBP, 2, 0, 2, 2, 0.19400850850142318, 0.12294540480856037, 0.26997292268148243, 27.427195765668777, 25, 24, 28
10, HREKG, 2, 0, 2, 2, 0.1833542428795823, 0.11652044473884438, 0.25481134059170873, 27.382920447602267, 25, 25, 28
10, HRSAT, 2, 0, 2, 2, 0.1833542428795823, 0.11652044473884438, 0.25481134059170873, 27.382920447602267, 25, 25, 28
10, CATECHOL, 4, 1, 5, 2, 0.09967481817782856, 0.056769432809201326, 0.11909954420911273, 24.913893142657603, 25, 24, 25
10, HR, 1, 4, 5, 1, 0.21362533013431972, 0.15238536670888853, 0.33706477092812226, 29.880586261545503, 25, 29, 33
11, HISTORY, 1, 0, 1, 3, 0.059989916000000046, 0.04350727889040129, 0.1039150381142222, 27.9455, 28, 27, 28
11, PCWP, 1, 0, 1, 2, 0.27963044636800005, 0.2059338734367646, 0.517800872012772, 30.114341000000003, 28, 30, 31
11, HYPOVOLEMIA, 0, 2, 2, 2, 0.15904159999999998, 0.08977254072799995, 0.22230962102242813, 27.200000000000003, 28, 27, 28
11, LVEDVOLUME, 2, 2, 4, 1, 0.3072862048, 0.26359082887800006, 0.6516045470858907, 32, 28, 32, 32
